,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
233,719890,Danielle,Brulebois,Bourgogne-Franche-Comté,Jura,1,Retraitée de l'enseignement,Renaissance,RE
234,720728,Jean-Paul,Mattei,Nouvelle-Aquitaine,Pyrénées-Atlantiques,2,Notaire,Démocrate (MoDem et Indépendants),Dem
235,793592,Géraldine,Grangier,Bourgogne-Franche-Comté,Doubs,4,Profession intermédiaire administrative de la fonction publique,Rassemblement National,RN
236,721094,Philippe,Dunoyer,Nouvelle-Calédonie,Nouvelle-Calédonie,1,Fonctionnaire de catégorie A,Renaissance,RE
237,794570,Alexandre,Sabatou,Hauts-de-France,Oise,3,Chef de projets SI,Rassemblement National,RN
238,642695,Éric,Bothorel,Bretagne,Côtes-d'Armor,5,Cadre supérieur (secteur privé),Renaissance,RE
239,722134,Jean-Marie,Fiévet,Nouvelle-Aquitaine,Deux-Sèvres,3,Fonctionnaire de catégorie B,Renaissance,RE
240,333285,Guillaume,Garot,Pays de la Loire,Mayenne,1,Cadre administratif,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
241,719632,Sophie,Panonacle,Nouvelle-Aquitaine,Gironde,8,Sans profession déclarée,Renaissance,RE
242,794670,Caroline,Parmentier,Hauts-de-France,Pas-de-Calais,9,Attachée de Presse,Rassemblement National,RN
243,266793,Jean-Yves,Bony,Auvergne-Rhône-Alpes,Cantal,2,Exploitant agricole,Les Républicains,LR
244,267901,Mansour,Kamardine,Mayotte,Mayotte,2,Avocat,Les Républicains,LR
245,794994,Alexandre,Portier,Auvergne-Rhône-Alpes,Rhône,9,"Professeur, profession scientifique",Les Républicains,LR
246,719488,Philippe,Berta,Occitanie,Gard,6,Professeur de faculté,Démocrate (MoDem et Indépendants),Dem
247,607395,Stéphane,Travert,Normandie,Manche,3,Cadre secteur privé,Renaissance,RE
248,722374,Cyrille,Isaac-Sibille,Auvergne-Rhône-Alpes,Rhône,12,Médecin,Démocrate (MoDem et Indépendants),Dem
249,793656,Lisette,Pollet,Auvergne-Rhône-Alpes,Drôme,2,Ouvrier qualifié de type industriel,Rassemblement National,RN
250,718860,Bénédicte,Taurine,Occitanie,Ariège,1,Professeur du secondaire et technique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
251,795884,Marc,Ferracci,Français établis hors de France,Français établis hors de France,6,"Professeur, profession scientifique",Renaissance,RE
252,794798,Françoise,Buffet,Grand Est,Bas-Rhin,4,"Ancien artisan, commerçant, chef d'entreprise",Renaissance,RE
253,720992,Jiovanny,William,Martinique,Martinique,1,Profession libérale,Gauche démocrate et républicaine - NUPES,GDR - NUPES
254,794510,Christine,Decodts,Hauts-de-France,Nord,13,Ancien cadre,Renaissance,RE
255,720586,Pierre,Vatin,Hauts-de-France,Oise,5,Permanent politique,Les Républicains,LR
256,719138,Michel,Castellani,Corse,Haute-Corse,1,Professeur des Universités,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
257,722046,Aurore,Bergé,Ile-de-France,Yvelines,10,Cadre supérieur (secteur privé),Renaissance,RE
258,720560,Perrine,Goulet,Bourgogne-Franche-Comté,Nièvre,1,Autre cadre (secteur privé),Démocrate (MoDem et Indépendants),Dem
259,795616,Carlos Martens,Bilongo,Ile-de-France,Val-d'Oise,8,"Professeur, profession scientifique",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
260,720092,Richard,Ramos,Centre-Val de Loire,Loiret,6,Autre cadre (secteur privé),Démocrate (MoDem et Indépendants),Dem
261,793290,Gisèle,Lelouis,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,3,Ancien employé ,Rassemblement National,RN
262,721486,Christophe,Naegelen,Grand Est,Vosges,3,Industriel-Chef d'entreprise,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
263,794854,Inaki,Echaniz,Nouvelle-Aquitaine,Pyrénées-Atlantiques,4,Cadre de la fonction publique,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
264,719294,Mireille,Clapot,Auvergne-Rhône-Alpes,Drôme,1,Cadre supérieur (entreprises publiques),Renaissance,RE
265,795820,Marcellin,Nadeau,Martinique,Martinique,2,Cadre de la fonction publique,Gauche démocrate et républicaine - NUPES,GDR - NUPES
266,794166,Matthias,Tavel,Pays de la Loire,Loire-Atlantique,8,Cadre de la fonction publique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
267,719080,Sandra,Marsaud,Nouvelle-Aquitaine,Charente,2,Cadre (entreprises publiques),Renaissance,RE
268,721896,Elsa,Faucillon,Ile-de-France,Hauts-de-Seine,1,Employée du secteur privé,Gauche démocrate et républicaine - NUPES,GDR - NUPES
269,267042,Yannick,Favennec-Bécot,Pays de la Loire,Mayenne,3,Directeur de cabinet,Horizons et apparentés,HOR
270,795298,Jérôme,Legavre,Ile-de-France,Seine-Saint-Denis,12,Professeur de lettres,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
271,720614,Marine,Le Pen,Hauts-de-France,Pas-de-Calais,11,Avocate,Rassemblement National,RN
272,793432,Franck,Allisio,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,12,Profession libérale,Rassemblement National,RN
273,720354,Jean-Michel,Jacques,Bretagne,Morbihan,6,Infirmier des forces spéciales,Renaissance,RE
274,718930,Anne-Laurence,Petel,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,14,Chargée des relations extérieures - secteur télécom,Renaissance,RE
275,720908,Naïma,Moutchou,Ile-de-France,Val-d'Oise,4,Avocat,Horizons et apparentés,HOR
276,794278,Xavier,Albertini,Grand Est,Marne,1,Profession libérale,Horizons et apparentés,HOR
277,719318,Emmanuelle,Anthoine,Auvergne-Rhône-Alpes,Drôme,4,Avocate,Les Républicains,LR
278,793218,Jordan,Guitton,Grand Est,Aube,1,Assistant Parlementaire,Rassemblement National,RN
