Name,Constituency,Party,Image Link,Deputy ID,Constituency_no_code
Yaël Menache,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795786.png,795786,Somme
Thomas Ménagé,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794322.png,794322,Loiret
Pierre Meurin,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793852.png,793852,Gard
Serge Muller,Dordogne (24),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793696.png,793696,Dordogne
Julien Odoul,Yonne (89),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795552.png,795552,Yonne
Mathilde Paris,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794314.png,794314,Loiret
Caroline Parmentier,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794670.png,794670,Pas-de-Calais
Kévin Pfeffer,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794582.png,794582,Moselle
Lisette Pollet,Drôme (26),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793656.png,793656,Drôme
Stéphane Rambaud,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795966.png,795966,Var
Angélique Ranc,Aube (10),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793230.png,793230,Aube
Julien Rancoule,Aude (11),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793254.png,793254,Aude
Laurence Robert-Dehault,Haute-Marne (52),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794442.png,794442,Haute-Marne
Béatrice Roullaud,Seine-et-Marne (77),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795410.png,795410,Seine-et-Marne
Anaïs Sabatini,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794894.png,794894,Pyrénées-Orientales
Alexandre Sabatou,Oise (60),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794570.png,794570,Oise
Emeric Salmon,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794954.png,794954,Haute-Saône
Philippe Schreck,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796050.png,796050,Var
Emmanuel Taché de la Pagerie,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793382.png,793382,Bouches-du-Rhône
Jean-Philippe Tanguy,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795778.png,795778,Somme
Michaël Taverne,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794502.png,794502,Nord
Lionel Tivoli,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793298.png,793298,Alpes-Maritimes
Antoine Villedieu,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794946.png,794946,Haute-Saône
